type,tag,location,startH,startM,startS,endH,endM,endS
0,'Xgti','Stanzen',12,15,38,12,35,38,
0,'ofEz','Funken',12,29,38,12,44,15,
0,'Xgti','Funken',12,35,38,13,1,38,
0,'ofEz','Funken',12,45,38,12,52,56,
0,'n4gK','Stanzen',12,51,38,12,57,36,
0,'ofEz','Roboter',12,57,35,13,10,16,
0,'n4gK','Funken',12,57,36,13,15,35,
0,'Xgti','Stanzen',13,1,38,13,9,36,
0,'pMaq','Funken',13,6,16,13,50,15,
0,'Hf6q','Funken',13,6,16,13,27,35,
0,'Xgti','Funken',13,9,36,13,23,38,
0,'ofEz','Roboter',13,17,35,13,26,56,
0,'n4gK','Funken',13,23,36,13,39,38,
0,'Xgti','Stanzen',13,25,38,13,31,36,
0,'Hf6q','Roboter',13,27,35,13,32,56,
0,'ofEz','Roboter',13,28,15,13,41,36,
0,'Xgti','Funken',13,33,38,14,33,36,
0,'Hf6q','Roboter',13,37,35,14,42,16,
0,'n4gK','Roboter',13,44,15,13,58,16,
0,'ofEz','Roboter',13,44,55,13,52,58,
0,'pMaq','Roboter',13,50,15,13,58,56,
0,'ofEz','Funken',13,52,58,14,0,15,
0,'GmK6','Funken',13,58,16,16,6,55,
0,'pMaq','Funken',13,58,56,14,10,15,
0,'n4gK','Roboter',13,59,35,14,27,38,
0,'ofEz','Funken',14,3,36,14,9,38,
0,'ofEz','Funken',14,9,38,14,14,56,
0,'pMaq','Roboter',14,10,15,14,21,39,
0,'ofEz','Funken',14,15,38,14,24,15,
0,'lwFq','Funken',14,20,18,14,27,35,
0,'pMaq','Stanzen',14,21,39,15,14,56,
0,'ofEz','Roboter',14,24,15,17,4,58,
0,'lwFq','Roboter',14,27,35,14,39,36,
0,'n4gK','Roboter',14,29,35,15,5,38,
0,'Xgti','Funken',14,33,36,16,35,38,
0,'lwFq','Roboter',14,43,35,14,53,36,
0,'Hf6q','Roboter',14,44,55,15,0,16,
0,'lwFq','Roboter',14,57,35,15,17,39,
0,'Hf6q','Roboter',15,2,55,20,19,39,
0,'n4gK','Roboter',15,7,35,16,22,19,
0,'pMaq','Funken',15,14,56,16,16,15,
0,'lwFq','Roboter',15,21,35,19,59,37,
0,'ox0d','Dornerei',15,59,35,16,19,39,
0,'pMaq','Roboter',16,16,15,16,28,19,
0,'ox0d','Stanzen',16,19,39,16,39,36,
0,'n4gK','Roboter',16,25,35,16,39,36,
0,'pMaq','Stanzen',16,28,19,16,54,15,
0,'Xgti','Funken',16,35,38,16,43,36,
0,'n4gK','Funken',16,39,36,16,45,35,
0,'Xgti','Funken',16,43,36,17,19,38,
0,'ox0d','Stanzen',16,45,39,16,53,35,
0,'n4gK','Funken',16,48,56,17,1,35,
0,'ox0d','Dornerei',16,53,35,17,1,36,
0,'pMaq','Roboter',16,54,15,17,4,16,
0,'ox0d','Funken',17,1,36,17,7,35,
0,'pMaq','Funken',17,4,16,17,15,35,
0,'ofEz','Roboter',17,5,35,21,3,39,
0,'ox0d','Dornerei',17,7,35,17,15,39,
0,'n4gK','Roboter',17,9,35,18,35,38,
0,'pMaq','Roboter',17,15,35,17,21,39,
0,'ox0d','Funken',17,19,36,17,25,39,
0,'pMaq','Stanzen',17,21,39,17,34,15,
0,'Xgti','Funken',17,23,36,20,51,39,
0,'ox0d','Stanzen',17,25,39,17,53,35,
0,'pMaq','Roboter',17,34,15,17,53,38,
0,'ox0d','Dornerei',17,53,35,18,7,39,
0,'pMaq','Funken',17,53,38,18,1,35,
0,'pMaq','Roboter',18,1,35,18,45,39,
0,'ox0d','Stanzen',18,7,39,21,37,37,
0,'n4gK','Funken',18,35,38,18,41,35,
0,'n4gK','Roboter',18,41,35,18,54,19,
0,'pMaq','Stanzen',18,45,39,19,54,17,
0,'n4gK','Roboter',18,55,35,19,4,17,
0,'n4gK','Funken',19,4,17,20,7,39,
0,'pMaq','Funken',19,54,17,20,20,19,
0,'lwFq','Roboter',20,3,36,21,22,20,
0,'n4gK','Funken',20,7,39,20,17,36,
0,'Hf6q','Funken',20,19,39,21,11,36,
0,'n4gK','Funken',20,20,19,20,26,16,
0,'pMaq','Funken',20,20,19,20,28,16,
0,'pMaq','Roboter',20,28,16,21,19,37,
0,'n4gK','Funken',20,32,19,20,47,36,
0,'n4gK','Funken',20,51,39,21,18,17,
0,'Xgti','Funken',20,53,37,21,51,39,
0,'Hf6q','Roboter',21,11,36,21,17,39,
0,'Hf6q','Funken',21,17,39,21,28,16,
0,'n4gK','Funken',21,18,17,21,23,39,
0,'pMaq','Funken',21,19,37,21,52,59,
0,'n4gK','Funken',21,23,39,21,36,17,
0,'Hf6q','Roboter',21,28,16,21,44,59,
0,'n4gK','Funken',21,36,17,21,45,36,
0,'Hf6q','Funken',21,44,59,21,52,16,
0,'n4gK','Funken',21,47,37,21,55,39,
0,'Xgti','Funken',21,51,39,21,59,37,
0,'Hf6q','Roboter',21,52,16,22,4,19,
0,'pMaq','Funken',21,52,59,22,8,56,
0,'Xgti','Funken',21,59,37,22,59,39,
0,'Hf6q','Funken',22,4,19,22,14,16,
0,'pMaq','Roboter',22,8,56,23,2,17,
0,'n4gK','Funken',22,10,17,22,15,36,
0,'Hf6q','Roboter',22,14,16,22,42,59,
0,'n4gK','Roboter',22,15,36,22,32,57,
0,'n4gK','Roboter',22,36,56,22,45,39,
0,'Hf6q','Funken',22,42,59,22,52,56,
0,'n4gK','Roboter',22,47,36,23,5,39,
0,'Hf6q','Roboter',22,52,56,23,3,39,
0,'pMaq','Funken',23,2,17,23,44,56,
0,'Hf6q','Funken',23,3,39,23,15,36,
0,'n4gK','Funken',23,5,39,23,13,36,
0,'n4gK','Roboter',23,13,36,23,26,19,
0,'Hf6q','Roboter',23,15,36,23,21,39,
0,'Hf6q','Funken',23,21,39,23,33,36,
0,'n4gK','Funken',23,26,19,23,33,36,
0,'n4gK','Roboter',23,33,36,23,39,39),
