type,tag,location,startH,startM,startS,endH,endM,endS
1,'Hf6q','Roboter',0,44,44,1,18,27,
1,'Hf6q','Funken',1,18,27,1,44,44,
1,'Hf6q','Funken',1,49,7,1,58,24,
1,'Hf6q','Funken',2,0,27,2,7,24,
1,'Hf6q','Roboter',2,10,44,2,19,7,
1,'Hf6q','Roboter',2,20,44,2,40,27,
1,'Hf6q','Funken',2,40,27,2,47,24,
1,'Hf6q','Funken',2,51,47,3,18,4,
1,'Hf6q','Roboter',3,18,4,4,21,45,
1,'Hf6q','Funken',4,21,45,4,34,45,
1,'Hf6q','Funken',4,40,25,4,46,45,
1,'Hf6q','Roboter',4,46,45,4,59,7,
1,'Hf6q','Roboter',5,4,45,5,27,5,
1,'Hf6q','Roboter',5,28,45,6,34,33,
1,'Hf6q','Roboter',6,38,5,7,46,25,
1,'Hf6q','Stanzen',7,49,13,8,0,5,
1,'Hf6q','Roboter',8,0,5,8,32,25,
1,'Hf6q','Funken',8,32,25,8,37,48,
1,'Hf6q','Funken',8,41,45,8,48,5,
1,'Hf6q','Roboter',8,48,5,8,57,14,
1,'Hf6q','Stanzen',8,57,14,9,15,45,
1,'Hf6q','Stanzen',9,19,54,9,59,25,
1,'Hf6q','Roboter',9,59,25,10,7,54,
1,'Hf6q','Stanzen',10,13,54,10,28,25,
1,'Hf6q','Funken',10,33,45,10,42,45,
1,'Hf6q','Roboter',10,42,45,10,49,54,
1,'Hf6q','Roboter',10,52,5,11,27,46,
1,'Hf6q','Funken',11,27,46,12,14,45,
1,'Hf6q','Roboter',12,14,45,12,45,6,
1,'Hf6q','Roboter',12,50,6,13,23,54,
1,'Hf6q','Funken',13,28,26,13,38,6,
1,'Hf6q','Roboter',13,38,6,13,53,54,
1,'Hf6q','Roboter',14,4,6,14,13,46,
1,'Hf6q','Funken',14,13,46,14,20,46,
1,'Hf6q','Roboter',14,20,46,14,31,46,
1,'Hf6q','Roboter',14,34,6,14,51,55,
1,'Hf6q','Stanzen',14,51,55,15,1,26,
1,'Hf6q','Roboter',15,1,26,15,28,35,
1,'Hf6q','Roboter',15,35,26,15,42,35,
1,'Hf6q','Stanzen',15,42,35,15,48,46,
1,'Hf6q','Roboter',15,56,6,16,34,26,
1,'Hf6q','Roboter',16,36,6,16,57,6,
1,'Hf6q','Stanzen',17,1,15,17,7,26,
1,'Hf6q','Roboter',17,7,26,17,31,56,
1,'Hf6q','Roboter',17,34,46,17,55,47,
1,'Hf6q','Funken',17,55,47,18,1,26,
1,'Hf6q','Roboter',18,1,26,18,15,56,
1,'Hf6q','Stanzen',18,15,56,18,37,7,
1,'Hf6q','Funken',18,37,7,18,42,46,
1,'Hf6q','Funken',18,49,47,18,56,6,
1,'Hf6q','Roboter',18,56,6,19,1,16,
1,'Hf6q','Roboter',19,6,6,19,29,16,
1,'Hf6q','Stanzen',19,29,16,19,37,7,
1,'Hf6q','Funken',19,37,7,19,42,36,
1,'Hf6q','Stanzen',19,42,36,19,59,47,
1,'Hf6q','Funken',19,59,47,20,7,26,
1,'Hf6q','Funken',20,11,7,20,18,6,
1,'Hf6q','Roboter',20,18,6,20,37,7,
1,'Hf6q','Funken',20,37,7,20,48,6,
1,'Hf6q','Roboter',20,48,6,21,11,57,
1,'Hf6q','Stanzen',21,11,57,21,30,46,
1,'Hf6q','Roboter',21,30,46,21,40,37,
1,'Hf6q','Stanzen',21,40,37,21,46,7,
1,'Hf6q','Roboter',21,46,7,22,13,57,
1,'Hf6q','Roboter',22,16,7,22,27,57,
1,'Hf6q','Roboter',22,30,7,23,5,59,
1,'Hf6q','Funken',23,5,59,23,35,27,
