type,tag,location,startH,startM,startS,endH,endM,endS
1,'LLz2','Dornerei',2,41,39,5,17,1,
1,'LLz2','Stanzen',5,17,1,5,23,39,
1,'LLz2','Dornerei',5,23,39,5,55,2,
1,'LLz2','Stanzen',5,55,2,6,7,39,
1,'LLz2','Dornerei',6,11,39,11,18,54,
1,'LLz2','Stanzen',11,18,54,11,35,0,
1,'LLz2','Dornerei',11,35,0,13,4,54,
1,'LLz2','Stanzen',13,4,54,13,11,0,
1,'LLz2','Dornerei',13,11,0,15,6,55,
1,'LLz2','Stanzen',15,6,55,15,15,1,
1,'LLz2','Dornerei',15,15,1,16,58,55,
1,'LLz2','Dornerei',17,3,1,17,12,55,
1,'LLz2','Dornerei',17,17,1,18,20,55,
1,'LLz2','Stanzen',18,20,55,18,33,1,
1,'LLz2','Stanzen',18,36,55,18,43,1,
1,'LLz2','Dornerei',18,43,1,19,36,55,
1,'LLz2','Stanzen',19,36,55,20,45,2,
1,'LLz2','Dornerei',20,45,2,20,50,56,
1,'LLz2','Stanzen',20,50,56,21,5,2,
1,'LLz2','Dornerei',21,5,2,22,40,56,
1,'LLz2','Dornerei',22,45,2,22,58,56,
1,'LLz2','Stanzen',22,58,56,23,7,2,
1,'LLz2','Dornerei',23,7,2,23,24,56,
1,'LLz2','Stanzen',23,24,56,23,53,2,
