type,tag,location,startH,startM,startS,endH,endM,endS
1,'pMaq','Funken',1,26,19,1,52,18,
1,'pMaq','Funken',1,52,18,5,20,57,
1,'pMaq','Roboter',5,20,57,7,2,20,
1,'pMaq','Roboter',7,3,37,7,9,40,
1,'pMaq','Funken',7,9,40,7,46,57,
1,'pMaq','Roboter',7,46,57,8,23,0,
1,'pMaq','Funken',8,23,0,8,52,57,
1,'pMaq','Roboter',8,52,57,9,2,20,
1,'pMaq','Funken',9,2,20,10,20,13,
1,'pMaq','Roboter',10,21,37,11,0,14,
1,'pMaq','Stanzen',11,0,14,11,5,37,
1,'pMaq','Stanzen',11,16,54,11,23,1,
1,'pMaq','Funken',11,23,1,11,29,34,
1,'pMaq','Stanzen',11,32,54,11,44,21,
1,'pMaq','Funken',11,44,21,11,54,54,
1,'pMaq','Stanzen',11,54,54,12,21,1,
1,'pMaq','Funken',12,21,1,12,52,57,
1,'pMaq','Roboter',13,2,57,13,24,21,
1,'pMaq','Funken',13,24,21,13,52,58,
1,'pMaq','Funken',13,57,1,14,11,38,
1,'pMaq','Roboter',14,11,38,14,34,14,
1,'pMaq','Stanzen',14,34,14,15,35,38,
1,'pMaq','Roboter',15,35,38,16,15,42,
1,'pMaq','Funken',16,15,42,16,34,18,
1,'pMaq','Roboter',16,34,18,17,55,42,
1,'pMaq','Roboter',18,0,18,18,13,42,
1,'pMaq','Funken',18,13,42,19,13,38,
1,'pMaq','Roboter',19,13,38,21,34,23,
1,'pMaq','Funken',21,34,23,22,46,59,
1,'pMaq','Roboter',22,46,59,23,15,40,
1,'pMaq','Funken',23,15,40,23,52,59,
