type,tag,location,startH,startM,startS,endH,endM,endS
1,'Hf6q','Funken',0,25,34,0,35,36,
1,'Hf6q','Funken',0,35,36,0,43,34,
1,'Hf6q','Funken',0,43,34,0,59,33,
1,'Hf6q','Roboter',0,59,33,1,19,34,
1,'Hf6q','Funken',1,19,34,1,43,36,
1,'Hf6q','Funken',1,47,35,2,57,37,
1,'Hf6q','Funken',3,1,35,3,9,37,
1,'Hf6q','Funken',3,9,37,3,15,35,
1,'Hf6q','Funken',3,23,35,3,29,37,
1,'Hf6q','Funken',3,33,35,3,51,37,
1,'Hf6q','Funken',3,53,35,4,25,37,
1,'Hf6q','Funken',4,25,37,4,33,35,
1,'Hf6q','Funken',4,33,35,4,45,37,
1,'Hf6q','Funken',4,45,37,4,57,35,
1,'Hf6q','Funken',4,57,35,5,5,37,
1,'Hf6q','Funken',5,7,35,9,13,34,
1,'Hf6q','Roboter',9,13,34,9,21,37,
1,'Hf6q','Funken',9,25,35,10,37,35,
1,'Hf6q','Funken',10,41,36,10,58,55,
1,'Hf6q','Roboter',10,58,55,11,42,56,
1,'Hf6q','Funken',11,42,56,11,50,15,
1,'Hf6q','Roboter',11,50,15,13,6,16,
1,'Hf6q','Funken',13,6,16,13,27,35,
1,'Hf6q','Roboter',13,27,35,13,32,56,
1,'Hf6q','Roboter',13,37,35,14,42,16,
1,'Hf6q','Roboter',14,44,55,15,0,16,
1,'Hf6q','Roboter',15,2,55,20,19,39,
1,'Hf6q','Funken',20,19,39,21,11,36,
1,'Hf6q','Roboter',21,11,36,21,17,39,
1,'Hf6q','Funken',21,17,39,21,28,16,
1,'Hf6q','Roboter',21,28,16,21,44,59,
1,'Hf6q','Funken',21,44,59,21,52,16,
1,'Hf6q','Roboter',21,52,16,22,4,19,
1,'Hf6q','Funken',22,4,19,22,14,16,
1,'Hf6q','Roboter',22,14,16,22,42,59,
1,'Hf6q','Funken',22,42,59,22,52,56,
1,'Hf6q','Roboter',22,52,56,23,3,39,
1,'Hf6q','Funken',23,3,39,23,15,36,
1,'Hf6q','Roboter',23,15,36,23,21,39,
1,'Hf6q','Funken',23,21,39,23,33,36,
