type,tag,location,startH,startM,startS,endH,endM,endS
1,'pMaq','Roboter',0,45,27,0,57,17,
1,'pMaq','Stanzen',0,57,17,1,2,47,
1,'pMaq','Roboter',1,2,47,1,9,57,
1,'pMaq','Roboter',1,13,27,1,28,30,
1,'pMaq','Roboter',1,30,47,1,35,50,
1,'pMaq','Funken',1,35,50,1,43,57,
1,'pMaq','Stanzen',1,49,57,2,4,30,
1,'pMaq','Funken',2,11,10,2,38,47,
1,'pMaq','Funken',2,45,10,3,14,38,
1,'pMaq','Funken',3,29,10,3,34,38,
1,'pMaq','Funken',3,35,10,3,41,58,
1,'pMaq','Stanzen',3,41,58,3,52,30,
1,'pMaq','Roboter',3,54,47,4,5,10,
1,'pMaq','Funken',4,5,10,4,15,27,
1,'pMaq','Roboter',4,15,27,4,25,50,
1,'pMaq','Funken',4,25,50,4,41,27,
1,'pMaq','Funken',4,49,51,4,55,27,
1,'pMaq','Roboter',4,55,27,5,7,11,
1,'pMaq','Funken',5,7,11,5,12,47,
1,'pMaq','Funken',5,13,11,5,20,38,
1,'pMaq','Funken',5,21,11,5,27,27,
1,'pMaq','Roboter',5,27,27,5,49,11,
1,'pMaq','Funken',5,49,11,6,1,27,
1,'pMaq','Roboter',6,1,27,6,8,31,
1,'pMaq','Roboter',6,9,28,6,27,18,
1,'pMaq','Funken',6,33,51,6,40,48,
1,'pMaq','Roboter',6,40,48,6,48,31,
1,'pMaq','Roboter',6,49,28,8,40,31,
1,'pMaq','Roboter',8,45,28,8,55,51,
1,'pMaq','Funken',8,55,51,9,13,28,
1,'pMaq','Roboter',9,13,28,9,34,31,
1,'pMaq','Roboter',9,37,28,9,44,39,
1,'pMaq','Roboter',9,59,28,10,5,11,
1,'pMaq','Funken',10,5,11,10,13,19,
1,'pMaq','Funken',10,15,51,10,34,2,
1,'pMaq','Roboter',10,35,28,11,19,11,
1,'pMaq','Roboter',11,21,28,11,51,52,
1,'pMaq','Roboter',11,57,28,13,1,52,
1,'pMaq','Funken',13,1,52,13,15,28,
1,'pMaq','Roboter',13,15,28,17,19,12,
1,'pMaq','Roboter',17,21,29,17,54,0,
1,'pMaq','Roboter',18,4,49,18,19,20,
1,'pMaq','Stanzen',18,19,20,18,24,49,
1,'pMaq','Roboter',18,24,49,18,52,0,
1,'pMaq','Roboter',18,53,29,19,12,0,
1,'pMaq','Roboter',19,15,29,19,25,20,
1,'pMaq','Roboter',19,31,29,19,52,1,
1,'pMaq','Roboter',19,53,29,20,20,41,
1,'pMaq','Roboter',20,21,29,20,29,21,
1,'pMaq','Stanzen',20,29,21,20,34,49,
1,'pMaq','Roboter',20,34,49,20,48,1,
1,'pMaq','Stanzen',20,48,1,20,53,54,
1,'pMaq','Funken',20,53,54,20,59,29,
1,'pMaq','Funken',21,3,14,21,10,41,
1,'pMaq','Roboter',21,12,9,21,22,41,
1,'pMaq','Roboter',21,25,29,21,34,41,
1,'pMaq','Funken',21,35,14,21,40,41,
1,'pMaq','Roboter',21,42,49,22,15,21,
1,'pMaq','Funken',22,19,15,22,26,9,
1,'pMaq','Roboter',22,26,9,23,6,1,
1,'pMaq','Roboter',23,8,9,23,19,21,
1,'pMaq','Roboter',23,22,49,23,46,41,
1,'pMaq','Stanzen',23,46,41,23,54,9,
