type,tag,location,startH,startM,startS,endH,endM,endS
1,'LLz2','Dornerei',5,18,52,5,25,18,
1,'LLz2','Stanzen',5,25,18,6,4,53,
1,'LLz2','Stanzen',6,9,18,6,28,53,
1,'LLz2','Dornerei',6,28,53,6,39,18,
1,'LLz2','Stanzen',6,39,18,7,0,53,
1,'LLz2','Dornerei',7,0,53,7,13,18,
1,'LLz2','Stanzen',7,13,18,8,2,53,
1,'LLz2','Dornerei',8,2,53,8,13,18,
1,'LLz2','Stanzen',8,13,18,8,26,53,
1,'LLz2','Dornerei',8,26,53,8,45,18,
1,'LLz2','Dornerei',8,54,53,9,3,19,
1,'LLz2','Stanzen',9,9,19,9,44,53,
1,'LLz2','Dornerei',9,44,53,10,21,19,
1,'LLz2','Stanzen',10,21,19,10,56,54,
1,'LLz2','Dornerei',10,56,54,11,21,19,
1,'LLz2','Stanzen',11,21,19,11,36,54,
1,'LLz2','Dornerei',11,36,54,11,55,19,
1,'LLz2','Dornerei',11,58,54,12,9,19,
1,'LLz2','Dornerei',12,10,54,12,25,19,
1,'LLz2','Stanzen',12,25,19,12,42,54,
1,'LLz2','Dornerei',12,42,54,13,41,19,
1,'LLz2','Stanzen',13,41,19,13,46,54,
1,'LLz2','Dornerei',13,46,54,14,31,20,
1,'LLz2','Dornerei',14,32,55,15,31,20,
1,'LLz2','Dornerei',15,32,55,16,1,20,
1,'LLz2','Dornerei',16,2,55,18,51,20,
1,'LLz2','Dornerei',18,52,55,20,33,21,
1,'LLz2','Dornerei',20,36,56,20,51,21,
1,'LLz2','Dornerei',20,52,56,21,17,21,
1,'LLz2','Dornerei',21,18,56,21,49,21,
1,'LLz2','Dornerei',21,50,56,22,57,21,
1,'LLz2','Stanzen',22,57,21,23,2,56,
1,'LLz2','Dornerei',23,2,56,23,51,21,
