type,tag,location,startH,startM,startS,endH,endM,endS
1,'Hf6q','Funken',9,7,32,9,15,31,
1,'Hf6q','Roboter',9,15,31,9,25,34,
1,'Hf6q','Funken',9,25,34,9,31,31,
1,'Hf6q','Roboter',9,31,31,10,3,32,
1,'Hf6q','Roboter',10,7,31,10,23,34,
1,'Hf6q','Funken',10,23,34,12,45,33,
1,'Hf6q','Funken',12,47,35,13,29,33,
1,'Hf6q','Funken',13,29,33,13,43,35,
1,'Hf6q','Funken',13,49,35,13,57,33,
1,'Hf6q','Funken',13,59,35,14,55,33,
1,'Hf6q','Funken',14,57,35,15,33,33,
1,'Hf6q','Funken',15,33,33,15,47,35,
1,'Hf6q','Funken',15,51,33,16,15,35,
1,'Hf6q','Funken',16,19,33,16,25,35,
1,'Hf6q','Funken',16,25,35,16,31,33,
1,'Hf6q','Funken',16,31,33,18,33,35,
1,'Hf6q','Funken',18,33,35,18,41,34,
1,'Hf6q','Funken',18,41,34,19,27,36,
1,'Hf6q','Funken',19,27,36,19,35,34,
1,'Hf6q','Funken',19,35,34,19,43,36,
1,'Hf6q','Funken',19,45,34,22,41,36,
1,'Hf6q','Funken',22,41,36,22,51,34,
1,'Hf6q','Funken',22,51,34,23,25,33,
