type,tag,location,startH,startM,startS,endH,endM,endS
1,'n4gK','Roboter',0,3,36,0,11,37,
1,'n4gK','Roboter',0,13,36,0,49,37,
1,'n4gK','Funken',0,49,37,1,7,36,
1,'n4gK','Roboter',1,7,36,1,19,38,
1,'n4gK','Roboter',1,21,36,1,28,19,
1,'n4gK','Funken',1,31,37,2,15,36,
1,'n4gK','Funken',2,17,38,2,23,36,
1,'n4gK','Roboter',2,23,36,2,33,38,
1,'n4gK','Funken',2,33,38,3,39,36,
1,'n4gK','Roboter',3,39,36,3,45,38,
1,'n4gK','Funken',3,45,38,4,25,40,
1,'n4gK','Roboter',4,33,37,4,39,40,
1,'n4gK','Funken',4,41,38,4,56,17,
1,'n4gK','Roboter',4,59,37,5,5,38,
1,'n4gK','Funken',5,5,38,5,12,17,
1,'n4gK','Roboter',5,12,17,5,49,40,
1,'n4gK','Funken',6,3,40,6,34,57,
1,'n4gK','Roboter',6,34,57,6,55,40,
1,'n4gK','Funken',7,4,20,7,17,37,
1,'n4gK','Roboter',7,37,37,7,43,40,
1,'n4gK','Funken',7,43,40,7,53,37,
1,'n4gK','Roboter',7,53,37,8,3,40,
1,'n4gK','Funken',8,3,40,8,25,37,
1,'n4gK','Funken',8,31,38,8,41,40,
1,'n4gK','Funken',8,43,38,8,49,37,
1,'n4gK','Roboter',8,49,37,9,7,39,
1,'n4gK','Stanzen',9,16,21,9,25,0,
1,'n4gK','Roboter',9,32,17,10,0,59,
1,'n4gK','Funken',10,9,1,10,14,57,
1,'n4gK','Roboter',10,14,57,10,42,59,
1,'n4gK','Funken',10,42,59,12,24,54,
1,'n4gK','Funken',12,30,59,12,51,1,
1,'n4gK','Funken',12,51,1,13,38,59,
1,'n4gK','Funken',13,38,59,14,49,1,
1,'n4gK','Funken',14,49,1,14,54,59,
1,'n4gK','Funken',14,54,59,15,31,2,
1,'n4gK','Funken',15,32,59,16,1,2,
1,'n4gK','Funken',16,1,2,16,22,59,
1,'n4gK','Funken',16,22,59,16,29,2,
1,'n4gK','Funken',16,30,59,19,13,3,
1,'n4gK','Funken',19,13,3,19,21,0,
