type,tag,location,startH,startM,startS,endH,endM,endS
1,'lwFq','Funken',4,54,43,5,4,48,
1,'lwFq','Stanzen',5,4,48,5,28,43,
1,'lwFq','Funken',5,28,43,6,47,49,
1,'lwFq','Stanzen',6,47,49,12,13,43,
1,'lwFq','Stanzen',12,15,50,12,49,43,
1,'lwFq','Dornerei',12,49,43,12,57,51,
1,'lwFq','Stanzen',12,57,51,13,25,24,
1,'lwFq','Stanzen',13,29,51,15,58,57,
1,'lwFq','Dornerei',15,58,57,16,25,11,
1,'lwFq','Stanzen',16,25,11,16,42,58,
1,'lwFq','Stanzen',16,45,11,18,6,58,
1,'lwFq','Dornerei',18,6,58,18,25,12,
1,'lwFq','Stanzen',18,25,12,18,30,58,
1,'lwFq','Dornerei',18,30,58,18,45,12,
1,'lwFq','Stanzen',18,45,12,18,54,58,
1,'lwFq','Dornerei',18,54,58,19,9,12,
1,'lwFq','Stanzen',19,9,12,19,44,58,
1,'lwFq','Dornerei',19,44,58,19,53,12,
1,'lwFq','Stanzen',19,53,12,19,58,58,
1,'lwFq','Dornerei',19,58,58,20,5,12,
1,'lwFq','Stanzen',20,5,12,20,42,59,
1,'lwFq','Dornerei',20,42,59,20,51,12,
1,'lwFq','Dornerei',20,54,59,21,15,12,
1,'lwFq','Stanzen',21,15,12,21,32,59,
1,'lwFq','Dornerei',21,32,59,21,39,12,
1,'lwFq','Stanzen',21,39,12,22,4,59,
1,'lwFq','Stanzen',22,7,12,22,30,59,
1,'lwFq','Dornerei',22,30,59,22,37,12,
1,'lwFq','Stanzen',22,37,12,22,48,59,
1,'lwFq','Dornerei',22,48,59,22,57,12,
1,'lwFq','Stanzen',22,57,12,23,12,59,
1,'lwFq','Stanzen',23,21,12,23,40,59,
1,'lwFq','Dornerei',23,52,59,23,59,12,
