type,tag,location,startH,startM,startS,endH,endM,endS
1,'pMaq','Funken',0,50,26,1,42,44,
1,'pMaq','Roboter',1,42,44,2,46,27,
1,'pMaq','Funken',2,46,27,5,13,25,
1,'pMaq','Funken',5,14,27,5,23,25,
1,'pMaq','Roboter',5,23,25,5,44,33,
1,'pMaq','Stanzen',5,58,33,6,16,5,
1,'pMaq','Stanzen',6,18,33,6,26,5,
1,'pMaq','Roboter',6,26,5,6,38,33,
1,'pMaq','Funken',6,45,45,6,57,53,
1,'pMaq','Roboter',7,1,25,7,15,53,
1,'pMaq','Stanzen',7,15,53,7,22,45,
1,'pMaq','Roboter',7,22,45,7,36,33,
1,'pMaq','Stanzen',7,42,33,8,10,45,
1,'pMaq','Roboter',8,10,45,8,17,53,
1,'pMaq','Funken',8,28,25,8,34,45,
1,'pMaq','Roboter',8,34,45,8,39,53,
1,'pMaq','Funken',8,47,45,8,54,33,
1,'pMaq','Stanzen',8,54,33,9,0,25,
1,'pMaq','Stanzen',9,5,54,9,19,45,
1,'pMaq','Funken',9,19,45,9,25,48,
1,'pMaq','Funken',9,28,25,9,36,5,
1,'pMaq','Funken',9,37,45,9,46,45,
1,'pMaq','Roboter',9,46,45,10,15,14,
1,'pMaq','Roboter',10,20,5,10,30,25,
1,'pMaq','Roboter',10,32,5,10,39,45,
1,'pMaq','Roboter',10,42,45,10,59,48,
1,'pMaq','Funken',10,59,48,11,28,5,
1,'pMaq','Funken',11,29,48,11,36,5,
1,'pMaq','Roboter',11,36,5,11,44,28,
1,'pMaq','Funken',11,44,28,11,50,5,
1,'pMaq','Funken',11,51,48,12,18,26,
1,'pMaq','Funken',12,19,48,12,32,6,
1,'pMaq','Roboter',12,32,6,14,59,55,
1,'pMaq','Stanzen',14,59,55,15,9,26,
1,'pMaq','Roboter',15,9,26,16,37,46,
1,'pMaq','Funken',16,37,46,16,49,26,
1,'pMaq','Roboter',16,49,26,16,57,46,
1,'pMaq','Funken',16,57,46,17,30,46,
1,'pMaq','Roboter',17,30,46,20,21,47,
1,'pMaq','Funken',20,21,47,20,32,6,
1,'pMaq','Roboter',20,32,6,20,41,47,
1,'pMaq','Funken',20,41,47,20,56,29,
1,'pMaq','Roboter',20,58,6,21,16,29,
1,'pMaq','Funken',21,16,29,21,29,17,
1,'pMaq','Funken',21,30,29,22,1,27,
1,'pMaq','Roboter',22,1,27,22,29,10,
1,'pMaq','Roboter',22,31,27,22,53,57,
1,'pMaq','Roboter',22,56,7,23,27,17,
1,'pMaq','Stanzen',23,27,17,23,33,27,
1,'pMaq','Roboter',23,33,27,23,53,57,
