type,tag,location,startH,startM,startS,endH,endM,endS
1,'Hf6q','Funken',2,5,39,2,15,36,
1,'Hf6q','Roboter',2,15,36,2,33,39,
1,'Hf6q','Funken',2,47,39,3,8,16,
1,'Hf6q','Funken',3,9,40,3,34,16,
1,'Hf6q','Roboter',3,34,16,3,52,20,
1,'Hf6q','Funken',3,52,20,4,3,36,
1,'Hf6q','Roboter',4,3,36,4,53,40,
1,'Hf6q','Funken',5,5,38,5,18,20,
1,'Hf6q','Funken',5,18,20,6,33,37,
1,'Hf6q','Funken',6,37,38,7,40,17,
1,'Hf6q','Roboter',7,40,17,7,53,2,
1,'Hf6q','Stanzen',7,53,2,8,2,17,
1,'Hf6q','Roboter',8,2,17,8,14,22,
1,'Hf6q','Stanzen',8,14,22,8,46,18,
1,'Hf6q','Funken',8,46,18,8,56,57,
1,'Hf6q','Roboter',8,56,57,9,56,13,
1,'Hf6q','Stanzen',9,56,13,10,2,59,
1,'Hf6q','Funken',10,2,59,10,40,17,
1,'Hf6q','Roboter',10,40,17,10,50,21,
1,'Hf6q','Funken',10,50,21,11,5,34,
1,'Hf6q','Funken',11,7,1,11,22,54,
1,'Hf6q','Stanzen',11,22,54,11,49,41,
1,'Hf6q','Funken',11,49,41,11,59,34,
1,'Hf6q','Stanzen',11,59,34,12,6,57,
1,'Hf6q','Stanzen',12,11,34,12,18,57,
1,'Hf6q','Roboter',12,18,57,12,26,54,
1,'Hf6q','Stanzen',12,26,54,12,37,41,
1,'Hf6q','Funken',12,37,41,14,3,38,
1,'Hf6q','Roboter',14,3,38,14,15,41,
1,'Hf6q','Roboter',14,17,38,14,29,41,
1,'Hf6q','Roboter',14,32,58,14,50,19,
1,'Hf6q','Roboter',14,53,38,15,20,59,
1,'Hf6q','Funken',15,20,59,15,26,18,
1,'Hf6q','Funken',15,28,19,15,34,58,
1,'Hf6q','Roboter',15,41,38,15,59,39,
1,'Hf6q','Funken',15,59,39,16,24,18,
1,'Hf6q','Roboter',16,24,18,16,32,19,
1,'Hf6q','Funken',16,32,19,16,46,58,
1,'Hf6q','Funken',16,48,59,17,1,38,
1,'Hf6q','Roboter',17,1,38,17,7,39,
1,'Hf6q','Funken',17,7,39,17,18,18,
1,'Hf6q','Funken',17,21,42,17,47,0,
1,'Hf6q','Funken',17,47,0,17,55,42,
1,'Hf6q','Funken',17,55,42,18,13,0,
1,'Hf6q','Funken',18,13,0,18,21,38,
1,'Hf6q','Roboter',18,21,38,18,33,2,
1,'Hf6q','Funken',18,33,2,18,51,0,
1,'Hf6q','Funken',18,51,0,19,15,38,
1,'Hf6q','Funken',19,20,23,19,27,35,
1,'Hf6q','Stanzen',19,27,35,20,16,23,
1,'Hf6q','Funken',20,16,23,20,36,58,
1,'Hf6q','Roboter',20,36,58,23,58,20,
