type,tag,location,startH,startM,startS,endH,endM,endS
1,'Hf6q','Roboter',0,40,59,2,21,41,
1,'Hf6q','Funken',2,21,41,4,34,59,
1,'Hf6q','Roboter',4,34,59,4,42,21,
1,'Hf6q','Funken',4,42,21,4,47,39,
1,'Hf6q','Funken',4,51,41,4,58,59,
1,'Hf6q','Roboter',4,58,59,5,13,41,
1,'Hf6q','Roboter',5,17,39,5,27,1,
1,'Hf6q','Funken',5,27,1,5,44,19,
1,'Hf6q','Funken',5,51,1,5,56,59,
1,'Hf6q','Roboter',5,56,59,6,34,21,
1,'Hf6q','Roboter',6,46,1,7,9,1,
1,'Hf6q','Roboter',7,12,1,8,3,2,
1,'Hf6q','Roboter',8,6,1,9,13,42,
1,'Hf6q','Roboter',9,18,2,9,25,2,
1,'Hf6q','Funken',9,25,2,9,30,42,
1,'Hf6q','Roboter',9,30,42,9,43,2,
1,'Hf6q','Roboter',9,45,22,10,23,42,
1,'Hf6q','Funken',10,23,42,10,29,22,
1,'Hf6q','Roboter',10,29,22,10,37,5,
1,'Hf6q','Roboter',10,39,22,11,4,22,
1,'Hf6q','Roboter',11,6,2,11,17,42,
1,'Hf6q','Funken',11,17,42,11,24,2,
1,'Hf6q','Roboter',11,24,2,11,29,42,
1,'Hf6q','Funken',11,29,42,11,39,22,
1,'Hf6q','Roboter',11,39,22,11,53,2,
1,'Hf6q','Funken',11,53,2,12,1,22,
1,'Hf6q','Roboter',12,1,22,12,7,2,
1,'Hf6q','Roboter',12,9,22,12,19,2,
1,'Hf6q','Roboter',12,21,22,15,23,43,
1,'Hf6q','Funken',15,29,5,16,4,43,
1,'Hf6q','Funken',16,6,25,16,13,23,
1,'Hf6q','Roboter',16,13,23,16,37,5,
1,'Hf6q','Roboter',16,40,43,16,48,25,
1,'Hf6q','Roboter',16,57,23,17,21,43,
1,'Hf6q','Roboter',17,24,43,17,45,5,
1,'Hf6q','Roboter',17,47,23,17,56,26,
1,'Hf6q','Roboter',17,58,43,19,7,6,
1,'Hf6q','Funken',19,7,6,19,20,43,
1,'Hf6q','Roboter',19,20,43,19,31,46,
1,'Hf6q','Roboter',19,32,43,19,51,46,
1,'Hf6q','Funken',19,51,46,20,4,43,
1,'Hf6q','Roboter',20,4,43,20,14,26,
1,'Hf6q','Funken',20,20,26,20,30,43,
1,'Hf6q','Roboter',20,30,43,20,45,6,
1,'Hf6q','Funken',20,52,26,21,6,44,
1,'Hf6q','Roboter',21,6,44,21,14,26,
1,'Hf6q','Funken',21,14,26,21,26,23,
1,'Hf6q','Funken',21,26,23,21,32,26,
1,'Hf6q','Funken',21,32,26,21,42,44,
1,'Hf6q','Roboter',21,42,44,22,19,44,
1,'Hf6q','Funken',22,19,44,22,36,44,
1,'Hf6q','Funken',22,38,24,22,45,24,
