type,tag,location,startH,startM,startS,endH,endM,endS
1,'LLz2','Stanzen',1,40,56,2,23,2,
1,'LLz2','Stanzen',2,26,56,2,49,3,
1,'LLz2','Stanzen',2,54,56,3,17,3,
1,'LLz2','Dornerei',3,17,3,3,50,57,
1,'LLz2','Dornerei',3,55,3,4,30,57,
1,'LLz2','Dornerei',4,35,3,4,40,57,
1,'LLz2','Dornerei',4,43,3,8,20,57,
1,'LLz2','Stanzen',8,20,57,8,31,4,
1,'LLz2','Dornerei',8,31,4,8,42,57,
1,'LLz2','Stanzen',8,42,57,8,57,4,
1,'LLz2','Dornerei',8,57,4,9,8,57,
1,'LLz2','Dornerei',9,13,4,11,38,58,
1,'LLz2','Dornerei',11,41,4,12,0,58,
1,'LLz2','Dornerei',12,5,4,12,56,58,
1,'LLz2','Dornerei',12,59,4,13,6,58,
1,'LLz2','Dornerei',13,10,46,14,2,58,
1,'LLz2','Dornerei',14,6,46,15,22,58,
1,'LLz2','Stanzen',15,22,58,16,20,47,
1,'LLz2','Dornerei',16,20,47,16,40,19,
1,'LLz2','Stanzen',16,40,19,16,46,47,
1,'LLz2','Stanzen',16,50,19,17,30,47,
1,'LLz2','Stanzen',17,34,19,18,4,47,
1,'LLz2','Dornerei',18,4,47,18,12,19,
1,'LLz2','Stanzen',18,12,19,18,26,47,
1,'LLz2','Stanzen',18,30,19,20,18,47,
1,'LLz2','Dornerei',20,18,47,20,30,19,
1,'LLz2','Stanzen',20,30,19,21,20,48,
1,'LLz2','Dornerei',21,20,48,21,28,20,
