type,tag,location,startH,startM,startS,endH,endM,endS
1,'lwFq','Roboter',0,57,39,1,11,43,
1,'lwFq','Funken',1,15,3,1,23,39,
1,'lwFq','Funken',1,27,3,1,32,21,
1,'lwFq','Funken',1,33,3,1,50,59,
1,'lwFq','Funken',2,1,3,2,54,56,
1,'lwFq','Roboter',2,57,39,3,5,1,
1,'lwFq','Funken',3,7,3,3,12,59,
1,'lwFq','Roboter',3,12,59,3,18,21,
1,'lwFq','Roboter',3,21,39,3,32,21,
1,'lwFq','Roboter',3,34,59,3,46,24,
1,'lwFq','Roboter',3,52,59,4,37,1,
1,'lwFq','Roboter',4,42,59,4,57,4,
1,'lwFq','Roboter',4,58,59,5,15,4,
1,'lwFq','Funken',5,15,4,5,20,59,
1,'lwFq','Roboter',5,20,59,6,7,1,
1,'lwFq','Roboter',6,10,59,6,31,4,
1,'lwFq','Roboter',6,37,21,7,15,1,
1,'lwFq','Funken',7,15,1,7,21,21,
1,'lwFq','Roboter',7,21,21,8,7,4,
1,'lwFq','Roboter',8,11,21,14,2,58,
1,'lwFq','Stanzen',14,2,58,14,28,2,
1,'lwFq','Roboter',14,28,2,16,6,25,
1,'lwFq','Funken',16,10,23,19,52,26,
1,'lwFq','Funken',19,54,23,20,40,26,
1,'lwFq','Funken',20,40,26,20,58,23,
1,'lwFq','Funken',20,58,23,21,6,26,
1,'lwFq','Funken',21,6,26,21,14,23,
1,'lwFq','Funken',21,14,23,21,28,26,
1,'lwFq','Funken',21,28,26,23,2,20,
