type,tag,location,startH,startM,startS,endH,endM,endS
1,'ox0d','Stanzen',0,12,56,0,29,2,
1,'ox0d','Stanzen',0,32,56,1,19,2,
1,'ox0d','Dornerei',1,19,2,1,28,56,
1,'ox0d','Stanzen',1,28,56,1,35,2,
1,'ox0d','Dornerei',1,35,2,1,46,56,
1,'ox0d','Stanzen',1,46,56,1,57,3,
1,'ox0d','Dornerei',1,57,3,2,38,56,
1,'ox0d','Stanzen',2,38,56,2,47,3,
1,'ox0d','Dornerei',2,47,3,3,6,56,
1,'ox0d','Stanzen',3,6,56,4,3,3,
1,'ox0d','Dornerei',4,3,3,4,12,57,
1,'ox0d','Dornerei',4,17,3,4,44,57,
1,'ox0d','Stanzen',4,44,57,4,59,3,
1,'ox0d','Dornerei',4,59,3,5,6,57,
1,'ox0d','Stanzen',5,6,57,9,33,4,
1,'ox0d','Stanzen',9,34,58,9,57,4,
1,'ox0d','Dornerei',9,57,4,10,10,58,
1,'ox0d','Dornerei',10,15,4,10,34,58,
1,'ox0d','Stanzen',10,34,58,11,21,4,
1,'ox0d','Dornerei',11,21,4,11,26,58,
1,'ox0d','Stanzen',11,26,58,11,39,4,
