type,tag,location,startH,startM,startS,endH,endM,endS
1,'pMaq','Roboter',0,10,19,0,21,3,
1,'pMaq','Roboter',0,22,59,1,7,3,
1,'pMaq','Funken',1,7,3,1,53,39,
1,'pMaq','Funken',1,57,3,3,21,41,
1,'pMaq','Funken',3,21,41,4,6,19,
1,'pMaq','Roboter',4,6,19,4,15,44,
1,'pMaq','Roboter',4,18,59,4,53,41,
1,'pMaq','Roboter',4,58,19,5,9,41,
1,'pMaq','Funken',5,9,41,5,18,59,
1,'pMaq','Roboter',5,18,59,5,27,1,
1,'pMaq','Funken',5,27,1,5,44,19,
1,'pMaq','Roboter',5,44,19,5,58,21,
1,'pMaq','Funken',5,58,21,6,4,19,
1,'pMaq','Roboter',6,4,19,6,19,1,
1,'pMaq','Funken',6,19,1,6,27,44,
1,'pMaq','Funken',6,27,44,6,45,21,
1,'pMaq','Roboter',6,45,21,7,30,24,
1,'pMaq','Funken',7,38,24,8,4,1,
1,'pMaq','Funken',8,8,24,8,14,1,
1,'pMaq','Roboter',8,14,1,11,2,25,
1,'pMaq','Funken',11,2,25,11,9,22,
1,'pMaq','Roboter',11,9,22,11,19,45,
1,'pMaq','Roboter',11,27,22,12,31,2,
1,'pMaq','Roboter',12,33,22,15,20,23,
1,'pMaq','Roboter',15,21,23,16,59,45,
1,'pMaq','Roboter',17,10,3,17,24,26,
1,'pMaq','Funken',17,24,26,17,32,43,
1,'pMaq','Roboter',17,32,43,17,38,25,
1,'pMaq','Funken',17,38,25,17,44,3,
1,'pMaq','Roboter',17,44,3,17,49,6,
1,'pMaq','Funken',17,49,6,17,54,43,
1,'pMaq','Funken',18,3,6,18,40,43,
1,'pMaq','Roboter',18,40,43,18,58,59,
1,'pMaq','Roboter',19,7,23,19,18,26,
1,'pMaq','Funken',19,18,26,19,32,3,
1,'pMaq','Funken',19,35,6,19,47,23,
1,'pMaq','Roboter',19,47,23,19,53,46,
1,'pMaq','Funken',19,53,46,20,2,43,
1,'pMaq','Roboter',20,2,43,21,2,26,
1,'pMaq','Funken',21,2,26,21,10,44,
1,'pMaq','Roboter',21,10,44,21,22,26,
1,'pMaq','Funken',21,28,26,21,40,4,
1,'pMaq','Roboter',21,40,4,22,17,6,
1,'pMaq','Funken',22,17,6,22,32,4,
1,'pMaq','Roboter',22,34,44,22,49,6,
1,'pMaq','Roboter',22,54,4,22,59,6,
1,'pMaq','Roboter',23,4,44,23,15,6,
1,'pMaq','Funken',23,15,6,23,26,44,
